movieId	year	title	genres	avg_rating	num_ratings
5416	2002	Cherish	(Comedy,Drama,Thriller)	5.0	1
5468	1957	20 Million Miles to Earth	(Sci-Fi)	5.0	1
71268	2009	Tyler Perry's I Can Do Bad All by Myself	(Comedy,Drama)	5.0	1
5490	1976	The Big Bus	(Action,Comedy)	5.0	1
112512	2010	Colourful (Karafuru)	(Animation,Drama,Fantasy,Mystery)	5.0	1
5513	2002	Martin Lawrence Live: Runteldat	(Comedy,Documentary)	5.0	1
5537	2002	Satin Rouge	(Drama,Musical)	5.0	1
5607	2001	Son of the Bride (Hijo de la novia, El)	(Comedy,Drama)	5.0	1
5723	1981	Continental Divide	(Comedy,Romance)	5.0	1
5745	1981	Four Seasons, The	(Comedy,Drama)	5.0	1
5746	1981	Galaxy of Terror (Quest)	(Action,Horror,Mystery,Sci-Fi)	5.0	1
84273	2011	Zeitgeist: Moving Forward	(Documentary)	5.0	1
156025	2016	Ice Age: The Great Egg-Scapade	(Adventure,Animation,Children,Comedy)	5.0	1
5888	1997	Brother (Brat)	(Crime,Drama)	5.0	1
5889	1984	Cruel Romance, A (Zhestokij Romans)	(Drama,Romance)	5.0	1
1759	1997	Four Days in September (O Que É Isso, Companheiro?)	(Drama)	5.0	1
60737	2007	Watching the Detectives	(Comedy,Romance)	5.0	1
99	1995	Heidi Fleiss: Hollywood Madam	(Documentary)	5.0	2
84512	1931	Girls About Town	(Comedy)	5.0	1
109687	2013	Particle Fever	(Documentary)	5.0	1
6021	1977	American Friend, The (Amerikanische Freund, Der)	(Crime,Drama,Mystery,Thriller)	5.0	1
109633	2013	Garden of Words, The (Koto no ha no niwa)	(Animation,Romance)	5.0	1
175431	1977	Bobik Visiting Barbos	(Animation,Comedy)	5.0	1
6086	1982	I, the Jury	(Crime,Drama,Thriller)	5.0	1
152711	2010	Who Killed Chea Vichea?	(Documentary)	5.0	1
175397	1984	In the blue sea, in the white foam.	(Animation,Children,Fantasy)	5.0	1
109241	2012	On the Other Side of the Tracks (De l'autre côté du périph)	(Action,Comedy,Crime)	5.0	1
175387	1973	On the Trail of the Bremen Town Musicians	(Adventure,Animation,Children)	5.0	1
175293	1969	Gena the Crocodile	(Animation,Children)	5.0	1
108795	2009	Wonder Woman	(Action,Adventure,Animation,Fantasy)	5.0	1
6192	2002	Open Hearts (Elsker dig for evigt)	(Romance)	5.0	1
6201	1986	Lady Jane	(Drama,Romance)	5.0	1
108078	2013	Chinese Puzzle (Casse-tête chinois)	(Comedy,Romance)	5.0	1
107951	2013	Hunting Elephants	(Comedy,Crime)	5.0	1
70451	2008	Max Manus	(Action,Drama,War)	5.0	1
107771	2013	Only Lovers Left Alive	(Drama,Horror,Romance)	5.0	1
69860	2007	Eichmann	(Drama,War)	5.0	1
151769	1978	Three from Prostokvashino	(Animation)	5.0	1
174551	1965	Obsession	(Comedy)	5.0	1
6402	1999	Siam Sunset	(Comedy)	5.0	1
6408	1974	Animals are Beautiful People	(Comedy,Documentary)	5.0	1
876	1993	Supercop 2 (Project S) (Chao ji ji hua)	(Action,Comedy,Crime,Thriller)	5.0	1
6442	1992	Belle époque	(Comedy,Romance)	5.0	2
2075	1981	Mephisto	(Drama,War)	5.0	1
59814	2007	Ex Drummer	(Comedy,Crime,Drama,Horror)	5.0	1
150554	1997	The Love Bug	(Adventure,Children,Comedy,Fantasy)	5.0	1
6611	1952	Umberto D.	(Drama)	5.0	1
149566	2012	Unicorn City	(Comedy,Romance)	5.0	1
149508	2011	Spellbound	(Comedy,Romance)	5.0	1
173963	2007	Empties	(Comedy)	5.0	1
149350	2015	Lumberjack Man	(Comedy,Horror)	5.0	1
69469	2009	Garfield's Pet Force	(Animation)	5.0	1
