movieId	title	avg_rating	avg_norm_rating
1	Toy Story	3.9209302325581397	0.34237854367196446
2	Jumanji	3.4318181818181817	-0.05879114574333638
3	Grumpier Old Men	3.2596153846153846	-0.23861515979569675
4	Waiting to Exhale	2.357142857142857	-1.1880643032348404
5	Father of the Bride Part II	3.0714285714285716	-0.626767782737354
6	Heat	3.946078431372549	0.42291859846498064
7	Sabrina	3.185185185185185	-0.43897223320340656
8	Tom and Huck	2.875	-0.5793577549178015
9	Sudden Death	3.125	-0.5008660041476464
10	GoldenEye	3.496212121212121	-0.06403586613318636
11	American President, The	3.6714285714285713	0.13775812493131623
12	Dracula: Dead and Loving It	2.4210526315789473	-0.8942497604305828
13	Balto	3.125	-0.30197050535645725
14	Nixon	3.8333333333333335	0.18038908154280753
15	Cutthroat Island	3.0	-0.4409627808181046
16	Casino	3.926829268292683	0.4395166237305093
17	Sense and Sensibility	3.7761194029850746	0.27476725162822896
18	Four Rooms	3.7	0.22447974665543952
19	Ace Ventura: When Nature Calls	2.727272727272727	-0.8735554061974123
20	Money Train	2.5	-0.8851602516432814
21	Get Shorty	3.49438202247191	0.022803675173261588
22	Copycat	3.2222222222222223	-0.08957393136180826
23	Assassins	3.125	-0.4259822130422106
24	Powder	3.125	-0.28522270474697387
25	Leaving Las Vegas	3.625	0.057811951514235814
26	Othello	3.5	0.12413465623827563
27	Now and Then	3.3333333333333335	-0.17659246558023034
28	Persuasion	4.2272727272727275	0.689156214744878
29	City of Lost Children, The (Cité des enfants perdus, La)	4.0131578947368425	0.4027225758944101
30	Shanghai Triad (Yao a yao yao dao waipo qiao)	3.0	-0.8036012013047559
31	Dangerous Minds	3.1842105263157894	-0.28032864997207696
32	Twelve Monkeys (a.k.a. 12 Monkeys)	3.983050847457627	0.4188396507530421
34	Babe	3.65234375	0.1584515421789343
36	Dead Man Walking	3.8358208955223883	0.2254253412636998
38	It Takes Two	2.125	-1.0922690001198103
39	Clueless	3.293269230769231	-0.19833871941435427
40	Cry, the Beloved Country	4.25	0.7934471137546155
41	Richard III	3.7	0.24277713347928162
42	Dead Presidents	3.0	-0.4721242264433098
43	Restoration	3.1875	-0.202663528547526
44	Mortal Kombat	2.5434782608695654	-0.962162234081184
45	To Die For	3.3125	-0.105172793487511
46	How to Make an American Quilt	3.066666666666667	-0.49228448709695766
47	Seven (a.k.a. Se7en)	3.9753694581280787	0.4234408043205318
48	Pocahontas	3.1470588235294117	-0.4920386939919239
49	When Night Is Falling	3.0	-1.112541548598576
50	Usual Suspects, The	4.237745098039215	0.6427892951378656
52	Mighty Aphrodite	3.4642857142857144	-0.03815246510128307
53	Lamerica	5.0	1.1223627414301025
54	Big Green, The	2.3333333333333335	-0.874207647652469
55	Georgia	4.0	0.40856369900435063
57	Home for the Holidays	3.0625	-0.408558249950284
58	Postman, The (Postino, Il)	4.027027027027027	0.36412042235925357
60	Indian in the Cupboard, The	3.235294117647059	-0.3053942628539068
61	Eye for an Eye	3.75	0.4777555429211214
62	Mr. Holland's Opus	3.70625	0.1696425292447812
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	2.7142857142857144	-0.8189248640370421
64	Two if by Sea	2.2	-1.1532930684860059
65	Bio-Dome	2.532258064516129	-0.9108932294862658
66	Lawnmower Man 2: Beyond Cyberspace	2.5	-0.9630004409653721
68	French Twist (Gazon maudit)	3.4	-0.4934894627814555
69	Friday	3.775	0.2700374657385837
70	From Dusk Till Dawn	3.5090909090909093	-0.015503403539862173
71	Fair Game	1.7	-1.714626405505583
72	Kicking and Screaming	3.2142857142857144	-0.06613390951654899
73	Misérables, Les	3.4615384615384617	-0.013418109214030126
74	Bed of Roses	4.0	0.291857920652745
75	Big Bully	2.2	-1.3354848861952153
76	Screamers	3.4	-0.06240754284858697
77	Nico Icon	4.0	0.4265172473751487
78	Crossing Guard, The	3.3333333333333335	-0.3121427626446653
79	Juror, The	2.764705882352941	-0.6833262741600377
80	White Balloon, The (Badkonake sefid)	4.0	0.48345224019822447
81	Things to Do in Denver When You're Dead	3.107142857142857	-0.5349669617363557
82	Antonia's Line (Antonia)	3.875	0.18699733495001986
83	Once Upon a Time... When We Were Colored	3.0	0.291647914188641
85	Angels and Insects	3.857142857142857	0.26689659883452505
86	White Squall	3.966666666666667	0.4176709061973554
87	Dunston Checks In	2.5	-0.6753731584556041
88	Black Sheep	3.15625	-0.3852176066697138
89	Nick of Time	3.25	-0.09787648280006148
92	Mary Reilly	2.625	-0.8281955000761733
93	Vampire in Brooklyn	2.8333333333333335	-0.33700337993381596
94	Beautiful Girls	3.95	0.4356629057091685
95	Broken Arrow	3.0238095238095237	-0.5053428404682668
96	In the Bleak Midwinter	3.5	0.12161516422057508
97	Hate (Haine, La)	3.9	0.4661100783413287
99	Heidi Fleiss: Hollywood Madam	5.0	1.0861351641619843
100	City Hall	2.7857142857142856	-0.6555876219098927
101	Bottle Rocket	3.782608695652174	0.3139631690852573
102	Mr. Wrong	2.4	-1.404566085999693
103	Unforgettable	3.0	-0.7620988801353171
104	Happy Gilmore	3.4393939393939394	-0.14605542550519085
105	Bridges of Madison County, The	3.282608695652174	-0.3311801466444375
106	Nobody Loves Me (Keiner liebt mich)	4.0	0.3381853137997645
107	Muppet Treasure Island	3.326923076923077	-0.08543799628745401
108	Catwalk	4.0	0.4265172473751487
110	Braveheart	4.031645569620253	0.459416725184612
111	Taxi Driver	4.105769230769231	0.4797726732401904
112	Rumble in the Bronx (Hont faan kui)	3.5434782608695654	-0.028669288252861903
113	Before and After	3.3333333333333335	-0.4275941143382631
116	Anne Frank Remembered	3.9	0.17962636931761264
117	Young Poisoner's Handbook, The	3.0	-0.6442218826313919
118	If Lucy Fell	2.5	-0.5340208969517427
119	Steal Big, Steal Little	3.0	-0.422809403291887
121	Boys of St. Vincent, The	4.0	0.3252396114665324
122	Boomerang	2.65625	-0.8207262268496006
123	Chungking Express (Chung Hing sam lam)	4.375	0.7922087046979309
125	Flirting With Disaster	3.5833333333333335	0.08052454666446672
126	NeverEnding Story III, The	2.0	-1.2142757759932896
128	Jupiter's Wife	3.0	-0.8560130828678444
129	Pie in the Sky	2.0	-3.1302636990318384
132	Jade	2.8333333333333335	-0.3007282427299574
135	Down Periscope	2.9516129032258065	-0.4757630915392533
137	Man of the Year	3.0	-0.6003002251876639
140	Up Close and Personal	3.5	-0.22555191059017715
141	Birdcage, The	3.494186046511628	-0.023053410694553148
144	Brothers McMullen, The	3.3333333333333335	-0.16900738668163137
145	Bad Boys	3.2450980392156863	-0.24803554370622485
146	Amazing Panda Adventure, The	3.3333333333333335	-0.25338252389862176
